,Industry_code_NZSIOC,Year,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Non-operating expenses,Non-operating income,Opening stocks,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count(3),Liability,Leverage ratio
0,99999,2013,795.3511235955057,50442.0,488032.0,631136.0,77.0,15873.0,339.3710144927536,375804.0,0.0,5934.0,36036.0,53770.0,31.0,15765.0,13610.0,50004.0,796443.0,509207.0,0.0,334094.0,0.0,69.0,263.0,10.0,3.0,79533.0,0.0,0.0,519935.0,52868.0,33800.0,14.322495616190729,1660278.0,488612.0,541042.0,346000.0,1140343.0,2.193241462875167
1,99999,2014,795.3511235955057,52929.0,504047.0,651897.0,77.0,16521.0,339.3710144927536,379683.0,0.0,6045.0,35779.0,53548.0,31.0,8774.0,16367.0,50941.0,814164.0,515710.0,0.0,354729.0,0.0,69.0,285.0,13.0,4.0,83243.0,0.0,0.0,530288.0,68314.0,42200.0,14.34489921752084,1697894.0,506689.0,573014.0,354100.0,1167607.0,2.201835606312042
2,99999,2015,795.3511235955057,53946.0,524779.0,700256.0,75.0,17278.0,339.3710144927536,410187.0,0.0,6438.0,38141.0,53898.0,31.0,13761.0,17266.0,53297.0,857523.0,540790.0,0.0,362152.0,0.0,67.0,259.0,11.0,3.0,88708.0,0.0,0.0,551443.0,62536.0,37300.0,14.399115156872835,1792488.0,528163.0,590050.0,352200.0,1241046.0,2.2505426671478284
3,AA,2013,795.3511235955057,13158.0,24740.0,22334.0,111.0,1562.0,339.3710144927536,79096.0,9.0,414.0,2901.0,1792.8257142857142,47.0,470.0,514.2264150943396,13563.0,35552.0,51033.0,0.0,21293.0,0.0,52.0,0.0,5.0,2.0,4028.0,0.0,16100.5,66021.0,3403.0,33800.0,11.845009516144952,139387.0,30668.0,34476.0,342500.0,73367.0,1.111267626967177
4,AA,2014,795.3511235955057,13388.0,26531.0,22887.0,116.0,1606.0,339.3710144927536,79488.0,8.0,421.0,2798.0,388.0,48.0,415.0,1916.0,13236.0,35140.0,50552.0,0.0,22688.0,0.0,57.0,7.034188034188034,10.0,5.0,4362.0,0.0,18335.5,67720.0,6843.0,65800.0,11.857642193604295,141159.0,32291.0,38983.0,374700.0,73439.0,1.0844506792675723
5,AA,2015,795.3511235955057,13152.0,26725.0,24956.0,107.0,1775.0,339.3710144927536,86695.0,11.0,438.0,3040.0,451.0,47.0,454.0,2620.0,13407.0,36845.0,54872.0,0.0,23208.0,0.0,54.0,0.0,7.0,3.0,4467.0,0.0,17716.0,70437.0,4879.0,45200.0,11.920149026093256,150264.0,33381.0,38514.0,357000.0,79828.0,1.133324815082982
6,AA11,2013,795.3511235955057,292.0,1704.0,2457.0,69.0,162.0,339.3710144927536,6682.0,0.0,31.0,200.0,47.0,41.0,20.0,77.0,292.0,1269.0,3274.0,0.0,1941.0,0.0,57.0,0.0,7.0,3.0,565.0,0.0,0.0,3925.0,276.0,12400.0,9.175334762777368,9656.0,2921.0,3196.0,144200.0,5731.0,1.4601273885350319
7,AA11,2014,795.3511235955057,302.0,1848.0,2608.0,71.0,159.0,339.3710144927536,6759.0,0.0,32.0,191.0,45.0,41.0,22.0,112.0,275.0,1287.0,3260.0,0.0,1976.0,0.0,59.0,0.0,13.0,5.0,574.0,0.0,0.0,4026.0,513.0,21800.0,9.199582715323222,9893.0,2954.0,3441.0,145900.0,5868.0,1.4575260804769001
8,AA11,2015,795.3511235955057,298.0,1916.0,2724.0,70.0,159.0,339.3710144927536,6858.0,0.0,32.0,191.0,56.0,43.0,7.0,124.0,285.0,1366.0,3069.0,0.0,2069.0,0.0,59.0,0.0,11.0,5.0,600.0,0.0,0.0,4347.0,462.0,19900.0,9.224243277145174,10140.0,3059.0,3508.0,151000.0,5793.0,1.3326432022084196
9,AA111,2013,795.3511235955057,292.0,1704.0,2457.0,69.0,162.0,339.3710144927536,6682.0,0.0,31.0,200.0,47.0,41.0,20.0,77.0,292.0,1269.0,3274.0,0.0,1941.0,0.0,57.0,0.0,7.0,3.0,565.0,0.0,0.0,3925.0,276.0,12400.0,9.175334762777368,9656.0,2921.0,3196.0,144200.0,5731.0,1.4601273885350319
10,AA111,2014,795.3511235955057,302.0,1848.0,2608.0,71.0,159.0,339.3710144927536,6759.0,0.0,32.0,191.0,45.0,41.0,22.0,112.0,275.0,1287.0,3260.0,0.0,1976.0,0.0,59.0,0.0,13.0,5.0,574.0,0.0,0.0,4026.0,513.0,21800.0,9.199582715323222,9893.0,2954.0,3441.0,145900.0,5868.0,1.4575260804769001
11,AA111,2015,795.3511235955057,298.0,1916.0,2724.0,70.0,159.0,339.3710144927536,6858.0,0.0,32.0,191.0,56.0,43.0,7.0,124.0,285.0,1366.0,3069.0,0.0,2069.0,0.0,59.0,0.0,11.0,5.0,600.0,0.0,0.0,4347.0,462.0,19900.0,9.224243277145174,10140.0,3059.0,3508.0,151000.0,5793.0,1.3326432022084196
12,AA12,2013,795.3511235955057,4958.0,8846.0,6940.0,127.0,444.0,339.3710144927536,29719.0,0.0,165.0,667.0,1792.8257142857142,58.0,42.0,514.2264150943396,5238.0,8438.0,12800.0,0.0,6049.0,0.0,56.0,0.0,2.0,1.0,780.0,0.0,0.0,27264.0,674.0,32800.0,10.757987983453832,47004.0,8146.0,9100.0,442200.0,19740.0,0.7240316901408451
13,AA12,2014,795.3511235955057,4981.0,9286.0,7184.0,129.0,436.0,339.3710144927536,29509.0,0.0,163.0,640.0,1792.8257142857142,58.0,63.0,514.2264150943396,4906.0,8027.0,12351.0,0.0,6074.0,0.0,60.0,0.0,6.0,3.0,838.0,0.0,0.0,27287.0,1581.0,76600.0,10.754129814173721,46823.0,8213.0,9720.0,470700.0,19535.0,0.7159086744603658
14,AA12,2015,795.3511235955057,5149.0,9889.0,7916.0,125.0,481.0,339.3710144927536,31973.0,0.0,173.0,715.0,140.0,58.0,62.0,524.0,5292.0,8428.0,13408.0,0.0,6434.0,0.0,60.0,0.0,4.0,2.0,865.0,0.0,0.0,28967.0,1218.0,57600.0,10.825561529166011,50290.0,8730.0,10092.0,476700.0,21324.0,0.7361480305174855
15,AA121,2013,795.3511235955057,4958.0,8846.0,6940.0,127.0,444.0,339.3710144927536,29719.0,0.0,165.0,667.0,1792.8257142857142,58.0,42.0,514.2264150943396,5238.0,8438.0,12800.0,0.0,6049.0,0.0,56.0,0.0,2.0,1.0,780.0,0.0,0.0,27264.0,674.0,32800.0,10.757987983453832,47004.0,8146.0,9100.0,442200.0,19740.0,0.7240316901408451
16,AA121,2014,795.3511235955057,4981.0,9286.0,7184.0,129.0,436.0,339.3710144927536,29509.0,0.0,163.0,640.0,1792.8257142857142,58.0,63.0,514.2264150943396,4906.0,8027.0,12351.0,0.0,6074.0,0.0,60.0,0.0,6.0,3.0,838.0,0.0,0.0,27287.0,1581.0,76600.0,10.754129814173721,46823.0,8213.0,9720.0,470700.0,19535.0,0.7159086744603658
17,AA121,2015,795.3511235955057,5149.0,9889.0,7916.0,125.0,481.0,339.3710144927536,31973.0,0.0,173.0,715.0,140.0,58.0,62.0,524.0,5292.0,8428.0,13408.0,0.0,6434.0,0.0,60.0,0.0,4.0,2.0,865.0,0.0,0.0,28967.0,1218.0,57600.0,10.825561529166011,50290.0,8730.0,10092.0,476700.0,21324.0,0.7361480305174855
18,AA13,2013,795.3511235955057,7025.0,10369.0,7919.0,131.0,574.0,339.3710144927536,34113.0,0.0,150.0,1632.0,239.0,40.0,37.0,415.0,7163.0,14363.0,27606.0,0.0,7293.0,0.0,42.0,0.0,5.0,2.0,1229.0,0.0,0.0,23319.0,1208.0,49700.0,10.982645153370102,58844.0,10914.0,12261.0,504200.0,35525.0,1.5234358248638449
19,AA13,2014,795.3511235955057,7201.0,11280.0,8498.0,133.0,592.0,339.3710144927536,34438.0,0.0,152.0,1574.0,153.0,40.0,55.0,331.0,7156.0,13647.0,27209.0,0.0,8174.0,0.0,48.0,0.0,13.0,5.0,1412.0,0.0,0.0,23659.0,2965.0,115700.0,10.991476950900324,59366.0,11959.0,14879.0,580800.0,35707.0,1.5092353861109937
20,AA13,2015,795.3511235955057,6724.0,10544.0,9129.0,116.0,664.0,339.3710144927536,38315.0,0.0,167.0,1714.0,171.0,37.0,52.0,415.0,6876.0,13289.0,30332.0,0.0,8035.0,0.0,42.0,0.0,4.0,1.0,1360.0,0.0,0.0,22688.0,834.0,30700.0,11.037273916211891,62148.0,11992.0,12979.0,477100.0,39461.0,1.7392894922425952
21,AA131,2013,795.3511235955057,7025.0,10369.0,7919.0,131.0,574.0,339.3710144927536,34113.0,0.0,150.0,1632.0,239.0,40.0,37.0,415.0,7163.0,14363.0,27606.0,0.0,7293.0,0.0,42.0,0.0,5.0,2.0,1229.0,0.0,0.0,23319.0,1208.0,49700.0,10.982645153370102,58844.0,10914.0,12261.0,504200.0,35525.0,1.5234358248638449
22,AA131,2014,795.3511235955057,7201.0,11280.0,8498.0,133.0,592.0,339.3710144927536,34438.0,0.0,152.0,1574.0,153.0,40.0,55.0,331.0,7156.0,13647.0,27209.0,0.0,8174.0,0.0,48.0,0.0,13.0,5.0,1412.0,0.0,0.0,23659.0,2965.0,115700.0,10.991476950900324,59366.0,11959.0,14879.0,580800.0,35707.0,1.5092353861109937
23,AA131,2015,795.3511235955057,6724.0,10544.0,9129.0,116.0,664.0,339.3710144927536,38315.0,0.0,167.0,1714.0,171.0,37.0,52.0,415.0,6876.0,13289.0,30332.0,0.0,8035.0,0.0,42.0,0.0,4.0,1.0,1360.0,0.0,0.0,22688.0,834.0,30700.0,11.037273916211891,62148.0,11992.0,12979.0,477100.0,39461.0,1.7392894922425952
24,AA14,2013,795.3511235955057,519.0,1213.0,1097.0,111.0,71.0,339.3710144927536,2944.0,0.0,13.0,87.0,26.0,45.0,5.0,49.0,511.0,830.0,1666.0,0.0,1067.0,0.0,63.0,0.0,4.0,2.0,176.0,0.0,0.0,2225.0,81.0,18300.0,8.514790306799927,4988.0,1418.0,1490.0,336300.0,2763.0,1.2417977528089887
25,AA14,2014,795.3511235955057,490.0,1202.0,1058.0,114.0,70.0,339.3710144927536,2861.0,0.0,14.0,80.0,16.0,46.0,4.0,56.0,503.0,761.0,1550.0,0.0,1072.0,0.0,67.0,0.0,7.0,3.0,186.0,0.0,0.0,2216.0,148.0,31100.0,8.481358738407021,4824.0,1427.0,1588.0,332700.0,2608.0,1.1768953068592058
26,AA14,2015,795.3511235955057,520.0,1412.0,1318.0,107.0,78.0,339.3710144927536,3306.0,0.0,15.0,93.0,21.0,44.0,4.0,62.0,506.0,830.0,1793.0,0.0,1154.0,0.0,68.0,0.0,10.0,5.0,208.0,0.0,0.0,2437.0,252.0,51100.0,8.621192781434722,5548.0,1552.0,1790.0,363200.0,3111.0,1.2765695527287648
27,AA141,2013,795.3511235955057,519.0,1213.0,1097.0,111.0,71.0,339.3710144927536,2944.0,0.0,13.0,87.0,26.0,45.0,5.0,49.0,511.0,830.0,1666.0,0.0,1067.0,0.0,63.0,0.0,4.0,2.0,176.0,0.0,0.0,2225.0,81.0,18300.0,8.514790306799927,4988.0,1418.0,1490.0,336300.0,2763.0,1.2417977528089887
28,AA141,2014,795.3511235955057,490.0,1202.0,1058.0,114.0,70.0,339.3710144927536,2861.0,0.0,14.0,80.0,16.0,46.0,4.0,56.0,503.0,761.0,1550.0,0.0,1072.0,0.0,67.0,0.0,7.0,3.0,186.0,0.0,0.0,2216.0,148.0,31100.0,8.481358738407021,4824.0,1427.0,1588.0,332700.0,2608.0,1.1768953068592058
29,AA141,2015,795.3511235955057,520.0,1412.0,1318.0,107.0,78.0,339.3710144927536,3306.0,0.0,15.0,93.0,21.0,44.0,4.0,62.0,506.0,830.0,1793.0,0.0,1154.0,0.0,68.0,0.0,10.0,5.0,208.0,0.0,0.0,2437.0,252.0,51100.0,8.621192781434722,5548.0,1552.0,1790.0,363200.0,3111.0,1.2765695527287648
30,AA21,2013,795.3511235955057,125.0,1144.0,2545.0,45.0,107.0,339.3710144927536,3278.0,18.130841121495326,22.0,223.0,1792.8257142857142,53.0,305.0,514.2264150943396,114.0,9252.0,3826.0,0.0,2431.0,0.0,40.0,0.0,11.0,6.0,277.0,0.0,1722.5,7303.0,791.0,167600.0,9.523251498473739,13674.0,3364.0,4145.0,878200.0,6371.0,0.8723812132000548
31,AA21,2014,795.3511235955057,160.0,1406.0,2046.0,69.0,124.0,339.3710144927536,3280.0,18.130841121495326,19.0,208.0,1792.8257142857142,57.0,215.0,514.2264150943396,161.0,9956.0,4242.0,0.0,2621.0,0.0,61.0,0.0,14.0,8.0,299.0,0.0,1962.0,8354.0,1177.0,237100.0,9.591649390206587,14642.0,3486.0,4664.0,939700.0,6288.0,0.7526933205649988
32,AA21,2015,795.3511235955057,152.0,1356.0,2134.0,64.0,141.0,339.3710144927536,3438.0,6.0,18.0,208.0,26.0,61.0,277.0,1394.0,168.0,11214.0,4173.0,0.0,2703.0,0.0,56.0,0.0,17.0,10.0,304.0,0.0,1930.5,9701.0,1621.0,340400.0,9.68084387626357,16008.0,3651.0,5287.0,1110200.0,6307.0,0.6501391609112462
33,AA211,2013,795.3511235955057,125.0,1144.0,2545.0,45.0,107.0,339.3710144927536,3278.0,18.130841121495326,22.0,223.0,1792.8257142857142,53.0,305.0,514.2264150943396,114.0,9252.0,3826.0,0.0,2431.0,0.0,40.0,0.0,11.0,6.0,277.0,0.0,1722.5,7303.0,791.0,167600.0,9.523251498473739,13674.0,3364.0,4145.0,878200.0,6371.0,0.8723812132000548
34,AA211,2014,795.3511235955057,160.0,1406.0,2046.0,69.0,124.0,339.3710144927536,3280.0,18.130841121495326,19.0,208.0,1792.8257142857142,57.0,215.0,514.2264150943396,161.0,9956.0,4242.0,0.0,2621.0,0.0,61.0,0.0,14.0,8.0,299.0,0.0,1962.0,8354.0,1177.0,237100.0,9.591649390206587,14642.0,3486.0,4664.0,939700.0,6288.0,0.7526933205649988
35,AA211,2015,795.3511235955057,152.0,1356.0,2134.0,64.0,141.0,339.3710144927536,3438.0,6.0,18.0,208.0,26.0,61.0,277.0,1394.0,168.0,11214.0,4173.0,0.0,2703.0,0.0,56.0,0.0,17.0,10.0,304.0,0.0,1930.5,9701.0,1621.0,340400.0,9.68084387626357,16008.0,3651.0,5287.0,1110200.0,6307.0,0.6501391609112462
